,id,Time,Tweet,prep,cleaned_tweets
10,1.31624e+18,2023-02-12 15:18:17+00:00,"b'well my wish came true... body aches, fever, nausea, im miserable '","well my wish came true... body aches, fever, nausea, im miserable '","well my wish came true... body aches, fever, nausea, im miserable '"
11,318562607.0,2023-02-12 14:42:22+00:00,"b'catching cold/tropical cold\n\ncause: too much exertion in outdoor activities + bad weather\n\nsymptoms: nausea, fever,... https://t.co/ogr1gcnz7q'","catching cold/tropical cold\n\ncause: too much exertion in outdoor activities + bad weather\n\nsymptoms: nausea, fever,... https://t.co/ogr1gcnz7q'","catching cold/tropical cold\n\ncause: too much exertion in outdoor activities + bad weather\n\nsymptoms: nausea, fever,... "
12,2329454670.0,2023-02-12 03:22:14+00:00,"b'@auntmaggiep fever, nausea, vomiting, bowel issues, weak, dizzy..............'","@auntmaggiep fever, nausea, vomiting, bowel issues, weak, dizzy..............'"," fever, nausea, vomiting, bowel issues, weak, dizzy..............'"
13,320558416.0,2023-02-11 23:48:47+00:00,"b""kid got sick and has a high fever and nausea and now i think i'm sick. neat. here's hoping this passes quickly.""","kid got sick and has a high fever and nausea and now i think i'm sick. neat. here's hoping this passes quickly.""","kid got sick and has a high fever and nausea and now i think i'm sick. neat. here's hoping this passes quickly."""
14,511177454.0,2023-02-11 20:47:40+00:00,"b'@hatch_shane @laurakronen i had it 3 wks ago. no cough or fever. just really bad headache, nausea.'","@hatch_shane @laurakronen i had it 3 wks ago. no cough or fever. just really bad headache, nausea.'","  i had it 3 wks ago. no cough or fever. just really bad headache, nausea.'"
15,1.25738e+18,2023-02-11 19:46:00+00:00,b'@striepenlab cryptospiridium:\nwatery diarrhea / stomach cramps or pain / dehydration / nausea / vomiting / fever /... https://t.co/ehewtfc52x',@striepenlab cryptospiridium:\nwatery diarrhea / stomach cramps or pain / dehydration / nausea / vomiting / fever /... https://t.co/ehewtfc52x', cryptospiridium:\nwatery diarrhea / stomach cramps or pain / dehydration / nausea / vomiting / fever /... 
16,288115413.0,2023-02-11 15:30:57+00:00,"b'the shakes. nausea. feverishness. lethargy. cramps. bathroom time. cant keep anything down, even an apple. wow.'","the shakes. nausea. feverishness. lethargy. cramps. bathroom time. cant keep anything down, even an apple. wow.'","the shakes. nausea. feverishness. lethargy. cramps. bathroom time. cant keep anything down, even an apple. wow.'"
17,1.21085e+18,2023-02-11 14:36:00+00:00,"b'typical food poisoning symptoms are fever, headache, nausea, vomiting, abdominal pain and diarrhea.\n\nread more ... https://t.co/8yvjxlgbeo'","typical food poisoning symptoms are fever, headache, nausea, vomiting, abdominal pain and diarrhea.\n\nread more ... https://t.co/8yvjxlgbeo'","typical food poisoning symptoms are fever, headache, nausea, vomiting, abdominal pain and diarrhea.\n\nread more ... "
18,139020039.0,2023-02-11 13:13:27+00:00,"b'and now im having episodes of body pain, slight fever, sore throat, nausea, and vomiting  yaw q na. si b... https://t.co/yivpzl90np'","and now im having episodes of body pain, slight fever, sore throat, nausea, and vomiting  yaw q na. si b... https://t.co/yivpzl90np'","and now im having episodes of body pain, slight fever, sore throat, nausea, and vomiting  yaw q na. si b... "
19,171610252.0,2023-02-11 09:26:53+00:00,b'@ionamckay i had covid last august stuffy/burning nose  loss of taste &amp; smell fever dizzinesss nausea loss of app... https://t.co/9jzvw98li0',@ionamckay i had covid last august stuffy/burning nose  loss of taste &amp; smell fever dizzinesss nausea loss of app... https://t.co/9jzvw98li0', i had covid last august stuffy/burning nose  loss of taste &amp; smell fever dizzinesss nausea loss of app... 
20,8.2534e+17,2023-02-11 09:14:02+00:00,"b""woke up with high fever and nausea and i just puked if y'all don't see me tweet on here its cause im fighting for my life""","woke up with high fever and nausea and i just puked if y'all don't see me tweet on here its cause im fighting for my life""","woke up with high fever and nausea and i just puked if y'all don't see me tweet on here its cause im fighting for my life"""
21,1479442159.0,2023-02-11 07:25:16+00:00,"b'most common side effect seen during  mountaineer trial were diarrhea, fatigue, rash, nausea, fever&amp;reactions to tra... https://t.co/2t87a3tego'","most common side effect seen during  mountaineer trial were diarrhea, fatigue, rash, nausea, fever&amp;reactions to tra... https://t.co/2t87a3tego'","most common side effect seen during  mountaineer trial were diarrhea, fatigue, rash, nausea, fever&amp;reactions to tra... "
22,1.42337e+18,2023-02-11 06:29:00+00:00,"b'@fiinnthehumaan i experience full body tremors, high fevers, migraines, fatigue, nausea, vomiting, cold sweats, dry... https://t.co/g2n9uk6zik'","@fiinnthehumaan i experience full body tremors, high fevers, migraines, fatigue, nausea, vomiting, cold sweats, dry... https://t.co/g2n9uk6zik'"," i experience full body tremors, high fevers, migraines, fatigue, nausea, vomiting, cold sweats, dry... "
23,1.58624e+18,2023-02-11 06:23:16+00:00,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/febhfyvyoe'","-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/febhfyvyoe'","-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... "
24,1.47702e+18,2023-02-11 04:31:28+00:00,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/7p2ylb4y6h'","-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/7p2ylb4y6h'","-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... "
25,304148225.0,2023-02-10 23:50:29+00:00,b'high fever &amp; nausea ',high fever &amp; nausea ',high fever &amp; nausea '
26,1.45647e+18,2023-02-10 22:00:12+00:00,"b'i got chills, nausea, and a fever wtf. nah after taking cough medicine everything got worse. close to crashing too... https://t.co/johmqp2gvc'","i got chills, nausea, and a fever wtf. nah after taking cough medicine everything got worse. close to crashing too... https://t.co/johmqp2gvc'","i got chills, nausea, and a fever wtf. nah after taking cough medicine everything got worse. close to crashing too... "
27,1.48759e+18,2023-02-10 16:59:50+00:00,"b'woke up feeling like unknown garbage. c19 test negative, no fever, just mucus and nausea and malaise. \nhad to cance... https://t.co/9icsq6dkyb'","woke up feeling like unknown garbage. c19 test negative, no fever, just mucus and nausea and malaise. \nhad to cance... https://t.co/9icsq6dkyb'","woke up feeling like unknown garbage. c19 test negative, no fever, just mucus and nausea and malaise. \nhad to cance... "
28,9.21197e+17,2023-02-10 14:43:05+00:00,"b'woolworths - nambour, queensland - suspected food poisoning. symptoms: diarrhea, nausea, vomiting, fever, stomach p... https://t.co/uswyvvpajt'","woolworths - nambour, queensland - suspected food poisoning. symptoms: diarrhea, nausea, vomiting, fever, stomach p... https://t.co/uswyvvpajt'","woolworths - nambour, queensland - suspected food poisoning. symptoms: diarrhea, nausea, vomiting, fever, stomach p... "
29,1390056121.0,2023-02-10 11:17:19+00:00,b'fast forward today my child fever is high &amp; it got nothing to do with this nausea vomiting',fast forward today my child fever is high &amp; it got nothing to do with this nausea vomiting',fast forward today my child fever is high &amp; it got nothing to do with this nausea vomiting'
30,1390056121.0,2023-02-10 11:16:27+00:00,b'sophie started her fever on wednesday &amp; the urgent care dr prescribed is a nausea medication',sophie started her fever on wednesday &amp; the urgent care dr prescribed is a nausea medication',sophie started her fever on wednesday &amp; the urgent care dr prescribed is a nausea medication'
31,1.25576e+18,2023-02-10 10:51:41+00:00,b'symptoms of appendicitis\nloss of appetite\nflatulence\nnausea vomiting\nfever\nmore information please  visit us:... https://t.co/wksniudxwz',symptoms of appendicitis\nloss of appetite\nflatulence\nnausea vomiting\nfever\nmore information please  visit us:... https://t.co/wksniudxwz',symptoms of appendicitis\nloss of appetite\nflatulence\nnausea vomiting\nfever\nmore information please  visit us:... 
32,78914170.0,2023-02-10 01:22:55+00:00,b'the most commonly searched conditions were \n\ndiabetes\nchest pain\nfever\nheadache\nnausea\nhigh blood pressure (hyperte... https://t.co/cncho7mda7',the most commonly searched conditions were \n\ndiabetes\nchest pain\nfever\nheadache\nnausea\nhigh blood pressure (hyperte... https://t.co/cncho7mda7',the most commonly searched conditions were \n\ndiabetes\nchest pain\nfever\nheadache\nnausea\nhigh blood pressure (hyperte... 
33,9.25078e+17,2023-02-10 01:15:13+00:00,b'2 am the nausea is up my throat again bro theres no way this isnt a fever bc my limbs are in painnn and my body temperature is so weird',2 am the nausea is up my throat again bro theres no way this isnt a fever bc my limbs are in painnn and my body temperature is so weird',2 am the nausea is up my throat again bro theres no way this isnt a fever bc my limbs are in painnn and my body temperature is so weird'
34,8.21558e+17,2023-02-09 23:45:16+00:00,"b'@gatewaypundit avian flu symptoms in humans range from fever, cough, sore throat and muscle aches to nausea, abdomi... https://t.co/dzz19ac2zo'","@gatewaypundit avian flu symptoms in humans range from fever, cough, sore throat and muscle aches to nausea, abdomi... https://t.co/dzz19ac2zo'"," avian flu symptoms in humans range from fever, cough, sore throat and muscle aches to nausea, abdomi... "
35,19778050.0,2023-02-09 22:40:00+00:00,"b'people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... https://t.co/waituyt0ft'","people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... https://t.co/waituyt0ft'","people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... "
36,258784821.0,2023-02-09 22:40:00+00:00,"b'people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... https://t.co/171kzlufvq'","people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... https://t.co/171kzlufvq'","people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... "
37,1.24146e+18,2023-02-09 22:28:30+00:00,"b'@rubycrabtree you do need to get back in touch with them..  pain fever, chills, pressure, swelling, redness and hea... https://t.co/l3jzuhmmjw'","@rubycrabtree you do need to get back in touch with them..  pain fever, chills, pressure, swelling, redness and hea... https://t.co/l3jzuhmmjw'"," you do need to get back in touch with them..  pain fever, chills, pressure, swelling, redness and hea... "
38,28895742.0,2023-02-09 21:20:24+00:00,"b'what the fuck sort of illness randomly shows up after taking an afternoon nap and gives me nausea, fever, a headach... https://t.co/pldxl5fgfk'","what the fuck sort of illness randomly shows up after taking an afternoon nap and gives me nausea, fever, a headach... https://t.co/pldxl5fgfk'","what the fuck sort of illness randomly shows up after taking an afternoon nap and gives me nausea, fever, a headach... "
39,1.538e+18,2023-02-09 20:38:03+00:00,b'its not the fever but the nausea that makes this whole thing worse... https://t.co/xgxbsjmowj',its not the fever but the nausea that makes this whole thing worse... https://t.co/xgxbsjmowj',its not the fever but the nausea that makes this whole thing worse... 
40,383140300.0,2023-02-09 17:50:03+00:00,"b'physical health:\nfever, joints and muscle pain, nausea, fatigue, cold\ncure:\nkr$na'","physical health:\nfever, joints and muscle pain, nausea, fatigue, cold\ncure:\nkr$na'","physical health:\nfever, joints and muscle pain, nausea, fatigue, cold\ncure:\nkr$na'"
41,9.66464e+17,2023-02-09 17:39:33+00:00,"b'i am sickening (chills, fever, nausea, headaches) https://t.co/vpj8ulk91u'","i am sickening (chills, fever, nausea, headaches) https://t.co/vpj8ulk91u'","i am sickening (chills, fever, nausea, headaches) "
42,1.54772e+18,2023-02-09 14:04:18+00:00,b'seem to have a fever today.\n\nno nausea at least but the sweating and shaking is pretty bad. throat is improving',seem to have a fever today.\n\nno nausea at least but the sweating and shaking is pretty bad. throat is improving',seem to have a fever today.\n\nno nausea at least but the sweating and shaking is pretty bad. throat is improving'
43,1.52171e+18,2023-02-09 10:57:42+00:00,b'diarrhea diagnosis and treatment.\n\nsymptoms:\n\nabdominal pain\nfever\nnausea\nvomiting\n\nbook an appointment today... https://t.co/eujsavuyc8',diarrhea diagnosis and treatment.\n\nsymptoms:\n\nabdominal pain\nfever\nnausea\nvomiting\n\nbook an appointment today... https://t.co/eujsavuyc8',diarrhea diagnosis and treatment.\n\nsymptoms:\n\nabdominal pain\nfever\nnausea\nvomiting\n\nbook an appointment today... 
44,2463500425.0,2023-02-09 10:29:13+00:00,"b'#kidneystones associated symptoms include: nausea, vomiting, fever, blood in the urine, pus in the urine, and painful urination.'","#kidneystones associated symptoms include: nausea, vomiting, fever, blood in the urine, pus in the urine, and painful urination.'"," associated symptoms include: nausea, vomiting, fever, blood in the urine, pus in the urine, and painful urination.'"
45,402105206.0,2023-02-09 08:33:34+00:00,"b' body aches, fever, cough, nausea, phlegm and shivers. '"," body aches, fever, cough, nausea, phlegm and shivers. '"," body aches, fever, cough, nausea, phlegm and shivers. '"
46,2885668589.0,2023-02-09 04:52:35+00:00,"b'@xclarisuh yup its a virus going around  throwing up,diarrhea,nausea??? possible fever??'","@xclarisuh yup its a virus going around  throwing up,diarrhea,nausea??? possible fever??'"," yup its a virus going around  throwing up,diarrhea,nausea??? possible fever??'"
47,1644006348.0,2023-02-09 03:51:14+00:00,"b'@frederickleath5 @healthbyjames i did not get "" the shots."" tested positive sept 1, 2022. only 3 symptoms: fever, n... https://t.co/fsq31wqain'","@frederickleath5 @healthbyjames i did not get "" the shots."" tested positive sept 1, 2022. only 3 symptoms: fever, n... https://t.co/fsq31wqain'","  i did not get "" the shots."" tested positive sept 1, 2022. only 3 symptoms: fever, n... "
48,1.5677e+18,2023-02-09 01:27:30+00:00,b'early symptoms of hiv can include:\n-fever\n-chills\n-swollen lymph nodes\n-general aches and pains\n-skin rash\n-sore th... https://t.co/6gn1i6sryu',early symptoms of hiv can include:\n-fever\n-chills\n-swollen lymph nodes\n-general aches and pains\n-skin rash\n-sore th... https://t.co/6gn1i6sryu',early symptoms of hiv can include:\n-fever\n-chills\n-swollen lymph nodes\n-general aches and pains\n-skin rash\n-sore th... 
49,1.55665e+18,2023-02-08 23:06:46+00:00,b'just got done and am wait for medic transport to take me back home. already feeling the chemo fever and nausea. whi... https://t.co/ihbl828mqe',just got done and am wait for medic transport to take me back home. already feeling the chemo fever and nausea. whi... https://t.co/ihbl828mqe',just got done and am wait for medic transport to take me back home. already feeling the chemo fever and nausea. whi... 
50,2682726528.0,2023-02-08 19:24:04+00:00,"b""@steviewildcard there's a 2 day bug going around my house. sore throat, fever, and nausea. i'm sure i'm next ""","@steviewildcard there's a 2 day bug going around my house. sore throat, fever, and nausea. i'm sure i'm next """," there's a 2 day bug going around my house. sore throat, fever, and nausea. i'm sure i'm next """
51,3431854829.0,2023-02-08 19:00:59+00:00,b'the initial symptoms of low to moderate carbon monoxide (co) poisoning are similar to the flu but without the fever... https://t.co/k2ihw39f9g',the initial symptoms of low to moderate carbon monoxide (co) poisoning are similar to the flu but without the fever... https://t.co/k2ihw39f9g',the initial symptoms of low to moderate carbon monoxide (co) poisoning are similar to the flu but without the fever... 
52,9.32842e+17,2023-02-08 18:25:43+00:00,"b'im so confuse w/ my body. i been feeling sick on &amp; off since the weekend. but no running fevers, just body aches,... https://t.co/ewvqh7lmto'","im so confuse w/ my body. i been feeling sick on &amp; off since the weekend. but no running fevers, just body aches,... https://t.co/ewvqh7lmto'","im so confuse w/ my body. i been feeling sick on &amp; off since the weekend. but no running fevers, just body aches,... "
53,1.51628e+18,2023-02-08 17:25:28+00:00,b'rt @jithinmarottik: @starhealthins @irdaindia generic back ache considered as pre existing n claims denied. tmrw any symptoms like fever an...',rt @jithinmarottik: @starhealthins @irdaindia generic back ache considered as pre existing n claims denied. tmrw any symptoms like fever an...',rt :   generic back ache considered as pre existing n claims denied. tmrw any symptoms like fever an...'
54,1.384e+18,2023-02-08 15:49:55+00:00,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/yinqhn7o0m'","-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/yinqhn7o0m'","-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... "
55,7.70679e+17,2023-02-08 15:35:22+00:00,"b'@nkaty2012 @mateboho_ml nna my withdrawal symptoms are intense.\nnausea, fever, dizziness '","@nkaty2012 @mateboho_ml nna my withdrawal symptoms are intense.\nnausea, fever, dizziness '","  nna my withdrawal symptoms are intense.\nnausea, fever, dizziness '"
56,1.45717e+18,2023-02-08 15:30:37+00:00,"b'a bit more about the virus:\n\nsymptoms included fever, headache, jaundice (yellowing of skin &amp; eyes), muscle pain, n... https://t.co/y45fmd6r3y'","a bit more about the virus:\n\nsymptoms included fever, headache, jaundice (yellowing of skin &amp; eyes), muscle pain, n... https://t.co/y45fmd6r3y'","a bit more about the virus:\n\nsymptoms included fever, headache, jaundice (yellowing of skin &amp; eyes), muscle pain, n... "
57,1.50159e+18,2023-02-08 14:53:22+00:00,"b'symptoms can include stomach cramps, bloating, nausea, and fever. \n\ntreatment options include drinking plenty of fl... https://t.co/madojub48w'","symptoms can include stomach cramps, bloating, nausea, and fever. \n\ntreatment options include drinking plenty of fl... https://t.co/madojub48w'","symptoms can include stomach cramps, bloating, nausea, and fever. \n\ntreatment options include drinking plenty of fl... "
58,1.04243e+18,2023-02-08 09:52:58+00:00,"b'a patient is accompanied by his friend to the clinic on account of headache, ""fever"" &amp; nausea. he is seen by the dr... https://t.co/c8axokxr17'","a patient is accompanied by his friend to the clinic on account of headache, ""fever"" &amp; nausea. he is seen by the dr... https://t.co/c8axokxr17'","a patient is accompanied by his friend to the clinic on account of headache, ""fever"" &amp; nausea. he is seen by the dr... "
59,1.50551e+18,2023-02-08 07:30:20+00:00,b'@partohthegreat persistent headache\nfevers\nchills\njoint pains \ngbw\nnausea \netc',@partohthegreat persistent headache\nfevers\nchills\njoint pains \ngbw\nnausea \netc', persistent headache\nfevers\nchills\njoint pains \ngbw\nnausea \netc'
60,1.59374e+18,2023-02-08 05:01:14+00:00,"b'@piper4missouri a friend of mine over 65 recently experienced extreme nausea, dizziness, &amp; fever. after hours sitti... https://t.co/26lz3l7ryb'","@piper4missouri a friend of mine over 65 recently experienced extreme nausea, dizziness, &amp; fever. after hours sitti... https://t.co/26lz3l7ryb'"," a friend of mine over 65 recently experienced extreme nausea, dizziness, &amp; fever. after hours sitti... "
61,9.17739e+17,2023-02-08 04:58:58+00:00,"b'pergi kerja feeling feverish, having dysmenorrhoea and nausea. took painkiller, relieved a bit and for awhile, want... https://t.co/psjpzg4d6a'","pergi kerja feeling feverish, having dysmenorrhoea and nausea. took painkiller, relieved a bit and for awhile, want... https://t.co/psjpzg4d6a'","pergi kerja feeling feverish, having dysmenorrhoea and nausea. took painkiller, relieved a bit and for awhile, want... "
62,750763772.0,2023-02-08 00:50:37+00:00,"b'@abc products distributed in conn., dc, maryland, mass., nj, ny, nc, penn., sc., va.\n\nsymptoms:  high fever, severe... https://t.co/1ejiueilse'","@abc products distributed in conn., dc, maryland, mass., nj, ny, nc, penn., sc., va.\n\nsymptoms:  high fever, severe... https://t.co/1ejiueilse'"," products distributed in conn., dc, maryland, mass., nj, ny, nc, penn., sc., va.\n\nsymptoms:  high fever, severe... "
63,1.58253e+18,2023-02-07 23:10:56+00:00,"b'@jfrechmann @tonysandersu46 @awake_il the child is obviously ill to the point of having a fever and nausea, why wou... https://t.co/vgkobfyzym'","@jfrechmann @tonysandersu46 @awake_il the child is obviously ill to the point of having a fever and nausea, why wou... https://t.co/vgkobfyzym'","   the child is obviously ill to the point of having a fever and nausea, why wou... "
64,1.58614e+18,2023-02-07 21:39:30+00:00,"b'@healthbyjames had it in oct of 21 while in st lucia. quarantined at the resort 10 days, felt like death w/fever,... https://t.co/b2geoixjdn'","@healthbyjames had it in oct of 21 while in st lucia. quarantined at the resort 10 days, felt like death w/fever,... https://t.co/b2geoixjdn'"," had it in oct of 21 while in st lucia. quarantined at the resort 10 days, felt like death w/fever,... "
65,9.128e+17,2023-02-07 19:40:41+00:00,b'nausea\n\nvomiting\n\ndiarrhea\n\nstomach cramps\n\nheadache\n\nfever\n\nbody aches https://t.co/9ow6nhvvwb',nausea\n\nvomiting\n\ndiarrhea\n\nstomach cramps\n\nheadache\n\nfever\n\nbody aches https://t.co/9ow6nhvvwb',nausea\n\nvomiting\n\ndiarrhea\n\nstomach cramps\n\nheadache\n\nfever\n\nbody aches 
66,4229115557.0,2023-02-14 17:38:14+00:00,b'and the feverish4 anxiety incident to betting other 56 toefl110+ ielts7.5+  gre305+  gmat780+  sat1565+  act35+... https://t.co/4aff9mtsa9',and the feverish4 anxiety incident to betting other 56 toefl110+ ielts7.5+  gre305+  gmat780+  sat1565+  act35+... https://t.co/4aff9mtsa9',and the feverish4 anxiety incident to betting other 56 toefl110+ ielts7.5+  gre305+  gmat780+  sat1565+  act35+... 
67,134642268.0,2023-02-14 16:47:02+00:00,b'@ricchfever @theejoeyy yall dont understand this is dangerous because your reckless drive causes people to have a... https://t.co/dfydpb9lxt',@ricchfever @theejoeyy yall dont understand this is dangerous because your reckless drive causes people to have a... https://t.co/dfydpb9lxt',  yall dont understand this is dangerous because your reckless drive causes people to have a... 
68,1.50542e+18,2023-02-14 18:16:35+00:00,"b'pour me water, holy water quench this fever'","pour me water, holy water quench this fever'","pour me water, holy water quench this fever'"
69,1.57434e+18,2023-02-14 18:16:26+00:00,b'@phillycrimeupd wait til jungle fever hits this summer.....its going to be a record breaking year of trash shooting trash!',@phillycrimeupd wait til jungle fever hits this summer.....its going to be a record breaking year of trash shooting trash!', wait til jungle fever hits this summer.....its going to be a record breaking year of trash shooting trash!'
70,1.16681e+18,2023-02-14 18:15:37+00:00,"b""had a funny thought while listening to a song \n\nbeau &amp; valentine at a disco dancing to 'night fever' by adam garci... https://t.co/xnzrm3xogl""","had a funny thought while listening to a song \n\nbeau &amp; valentine at a disco dancing to 'night fever' by adam garci... https://t.co/xnzrm3xogl""",had a funny thought while listening to a song \n\nbeau &amp; valentine at a disco dancing to 'night fever' by adam garci... 
71,3094635489.0,2023-02-14 18:15:17+00:00,b'when iiiiiiiiiii was a child......i had a fever......\n\nmy hands felt just like...two big ballooooons...... https://t.co/xgjzpp4h28',when iiiiiiiiiii was a child......i had a fever......\n\nmy hands felt just like...two big ballooooons...... https://t.co/xgjzpp4h28',when iiiiiiiiiii was a child......i had a fever......\n\nmy hands felt just like...two big ballooooons...... 
72,1.59731e+18,2023-02-14 18:15:10+00:00,"b""usually i would be angry with all the sh t takes on this app but last time i checked i had 39.8 in fever so i'm jus... https://t.co/jrc97ytfbk""","usually i would be angry with all the sh t takes on this app but last time i checked i had 39.8 in fever so i'm jus... https://t.co/jrc97ytfbk""",usually i would be angry with all the sh t takes on this app but last time i checked i had 39.8 in fever so i'm jus... 
73,79975924.0,2023-02-14 18:14:50+00:00,"b'rt @primary_immune: patient 1 : 9 year-old boy: from infancy -&gt; oral lesions, recurrent fever, diarrhea, vomiting, atopic dermatitis...\npa...'","rt @primary_immune: patient 1 : 9 year-old boy: from infancy -&gt; oral lesions, recurrent fever, diarrhea, vomiting, atopic dermatitis...\npa...'","rt : patient 1 : 9 year-old boy: from infancy -&gt; oral lesions, recurrent fever, diarrhea, vomiting, atopic dermatitis...\npa...'"
74,1.38856e+18,2023-02-14 18:14:38+00:00,b'the truth is out there: ufo fever grips congress - politico https://t.co/5voap5kd9z',the truth is out there: ufo fever grips congress - politico https://t.co/5voap5kd9z',the truth is out there: ufo fever grips congress - politico 
75,79975924.0,2023-02-14 18:14:26+00:00,"b'patient 1 : 9 year-old boy: from infancy -&gt; oral lesions, recurrent fever, diarrhea, vomiting, atopic dermatitis..... https://t.co/6afehj42lh'","patient 1 : 9 year-old boy: from infancy -&gt; oral lesions, recurrent fever, diarrhea, vomiting, atopic dermatitis..... https://t.co/6afehj42lh'","patient 1 : 9 year-old boy: from infancy -&gt; oral lesions, recurrent fever, diarrhea, vomiting, atopic dermatitis..... "
76,1.44509e+18,2023-02-14 18:13:23+00:00,"b""spent valentine's day with a huge fever and headaches, fun!""","spent valentine's day with a huge fever and headaches, fun!""","spent valentine's day with a huge fever and headaches, fun!"""
77,9.14209e+17,2023-02-14 18:13:16+00:00,"b""i burn!\ncan't hold me now\nyou got nothing that can stop me\ni burn!\nswing all you want\nlike a fever, i will take you down""","i burn!\ncan't hold me now\nyou got nothing that can stop me\ni burn!\nswing all you want\nlike a fever, i will take you down""","i burn!\ncan't hold me now\nyou got nothing that can stop me\ni burn!\nswing all you want\nlike a fever, i will take you down"""
