,Unnamed: 0,id,Time,Tweet,Flag,Tags
24,24,1930323402,2023-02-14 09:33:14+00:00,b'Tharolax\xc2\xae is an #antimetabolite indicated to reduce the frequency of painful crises and to reduce the need for bloo\xe2\x80\xa6 https://t.co/g4zIJZxXVm',0,NIL
25,25,1496116183598198787,2023-02-14 09:30:06+00:00,"b'First of the 5 micronutrients: Iron. While the human body stores iron, poor iron intake can deplete these stores to\xe2\x80\xa6 https://t.co/QUMev4zJjR'",0,NIL
26,26,1366879736430014466,2023-02-14 09:24:36+00:00,"b'RT @DEKINGLS: Cuaderno de Batallas: 6 Oct 2022 \n30 a\xc3\xb1os de Esclerosis Tuberosa. Los \xc3\xbaltimos An\xc3\xa1lisis y Revis\xc3\xb3n de da\xc3\xb1os en Cerebro, Coraz\xc3\xb3n\xe2\x80\xa6'",0,NIL
27,27,967134703,2023-02-14 09:23:37+00:00,b'@andangindarto Anemia \xf0\x9f\xa5\xb2',0,NIL
28,28,1430461208184819714,2023-02-14 09:19:18+00:00,"b'Tharolax\xc2\xae, the first and only #hydroxyurea-based treatment for pediatric patients with sickle cell anemia, now avai\xe2\x80\xa6 https://t.co/uQwqNttbFN'",0,NIL
29,29,4537144093,2023-02-14 09:17:31+00:00,"b'@weebknight11 @Shikoutei_Qin Hot take: with the training Guda has, and having been practically immersed in death, h\xe2\x80\xa6 https://t.co/9JinBa8gFr'",0,NIL
30,30,1365637460110102528,2023-02-14 09:16:05+00:00,b'@o_Donguri_o \xe3\x81\x95\xe3\x82\x80\xe3\x81\x84',0,NIL
31,31,785452787672846337,2023-02-14 09:15:40+00:00,b'#\xe3\x83\x92\xe3\x83\x97\xe3\x83\x9e\xe3\x82\xa4\xe3\x81\xa8\xe3\x83\x90\xe3\x83\xac\xe3\x83\xb3\xe3\x82\xbf\xe3\x82\xa4\xe3\x83\xb3\n\xe8\xa6\xb3\xe9\x9f\xb3\xe5\x9d\x82\xe7\x8b\xac\xe6\xad\xa9\n\n\xe7\x8b\xac\xe6\xad\xa9\xe3\x81\x95\xe3\x82\x93\xef\xbc\x81\xe3\x81\x84\xe3\x81\xa4\xe3\x82\x82\xe3\x81\x8a\xe4\xbb\x95\xe4\xba\x8b\xe3\x81\x8a\xe7\x96\xb2\xe3\x82\x8c\xe6\xa7\x98\xe3\x81\xa7\xe3\x81\x99\xef\xbc\x81\xe7\xa7\x81\xe3\x82\x82\xe4\xbb\x95\xe4\xba\x8b\xe3\x81\x97\xe3\x81\xa6\xe3\x81\xa6\xe8\xbe\x9b\xe3\x81\x84\xe6\x99\x82\xe3\x82\x82\xe3\x81\x82\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\xe3\x81\x91\xe3\x81\xa9\xe3\x80\x81\xe7\x8b\xac\xe6\xad\xa9\xe3\x81\x95\xe3\x82\x93\xe3\x81\xae\xe9\xa0\x91\xe5\xbc\xb5\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x84\xe3\x82\x8b\xe5\xa7\xbf\xe3\x82\x92\xe8\xa6\x8b\xe3\x81\xa6\xe7\xa7\x81\xe3\x82\x82\xe9\xa0\x91\xe5\xbc\xb5\xe3\x82\x89\xe3\x81\xaa\xe3\x81\x8f\xe3\x81\xa1\xe3\x82\x83\xe3\x81\xa3\xef\xbc\x81\xe3\x81\xa3\xe3\x81\xa6\xe5\x85\x83\xe6\xb0\x97\xe3\x82\x92\xe3\x82\x82\xe3\x82\x89\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\xbe\xe3\x81\x99\xef\xbc\x81\xe3\x81\x82\xe3\x82\x8a\xe3\x81\x8c\xe3\x81\xa8\xe3\x81\x86\xe3\x81\x94\xe3\x81\x96\xe3\x81\x84\xe3\x81\xbe\xe3\x81\x99\xef\xbc\x81\n\xe3\x81\x93\xe3\x82\x8c\xe3\x81\x8b\xe3\x82\x89\xe3\x82\x82\xe3\x81\x9a\xe3\x81\xa3\xe3\x81\xa8\xe3\x81\x82\xe3\x81\xaa\xe3\x81\x9f\xe3\x81\xae\xe3\x83\x95\xe3\x82\xa1\xe3\x83\xb3\xe3\x81\xa7\xe3\x81\x99\xef\xbc\x81',0,NIL
32,32,925484587102408704,2023-02-14 09:09:47+00:00,b'@wuaito_ tengo anemia',0,NIL
33,33,1086177733007286273,2023-02-14 09:03:11+00:00,b'@Albert_Edero Devastada dice la marico\xc3\xb1o \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f. Tiene tanta anemia de no comer carne q el ox\xc3\xadgeno no le llega al ce\xe2\x80\xa6 https://t.co/NMREEKN38Z',0,NIL
34,34,3947390069,2023-02-14 09:01:17+00:00,"b'Sufras o no de #anemia, tu capacidad de ejercicio mejorar\xc3\xa1 tras corregir el #D\xc3\xa9ficitDeHierro\xf0\x9f\x8f\x83\xe2\x99\x80\xef\xb8\x8f\n\nEsto es debido a q\xe2\x80\xa6 https://t.co/24nnjFOQlC'",0,NIL
35,35,785452787672846337,2023-02-14 08:58:00+00:00,"b""RT @Rascal_tweet: \xe3\x83\x9f\xe3\x83\xa3\xe3\x83\x95\xe3\x83\x95\xf0\x9f\x8e\xb5\n\xe4\xbb\x8a\xe5\xb9\xb4\xe3\x82\x82\xe3\x83\xaa\xe3\x83\xaa\xe3\x82\xa4\xe3\x81\x8b\xe3\x82\x89\xe3\x83\x81\xe3\x83\xa7\xe3\x82\xb3\xe2\x9c\xa8\xe3\x82\x82\xe3\x82\x89\xe3\x81\x88\xe3\x81\x9f\xe3\x83\x9f\xe3\x83\xa3\xef\xbd\x9e\xf0\x9f\x92\x96(\xe2\x97\x86'\xe1\x97\x9c'\xe2\x97\x86)\n\n#\xe3\x83\xa9\xe3\x82\xb9\xe3\x82\xab\xe3\x83\xab #\xe3\x83\x90\xe3\x83\xac\xe3\x83\xb3\xe3\x82\xbf\xe3\x82\xa4\xe3\x83\xb3 https://t.co/b0s5xuNlEA""",0,NIL
36,36,1342160275114323969,2023-02-14 08:56:14+00:00,b'RT @Tabi_husky68: APEX\xe3\x82\x82\xe7\xb5\x84\xe3\x81\xbf\xe5\x88\x86\xe3\x81\x91\xe3\x81\xae\xe6\x99\x82\xe6\x9c\x9f\xe3\x81\xa7\xe3\x81\x99\xe3\x81\xad\xef\xbd\x9e\xf0\x9f\xa4\xaa https://t.co/Yb4wmmmVvb',0,NIL
37,37,1253337300257267712,2023-02-14 08:50:31+00:00,b'\xf0\x9f\x87\xa6\xf0\x9f\x87\xba\xe3\x81\xae\xe6\x95\x91\xe6\x80\xa5\xe5\xa4\x96\xe6\x9d\xa5\xe3\x81\xa7\xe5\x83\x8d\xe3\x81\x8d\xe5\xa7\x8b\xe3\x82\x81\xe3\x81\xa6\xe3\x81\x99\xe3\x81\x90\xe3\x81\xae\xe9\xa0\x83\xe3\x80\x81\n\n\xe3\x80\x8c\xe3\x81\x82\xe3\x81\x81\xe3\x82\x93\xef\xbc\x81\xef\xbc\x81\xe4\xbd\x95\xe3\x81\xa0\xe3\x81\x93\xe3\x81\xae\xe9\x9b\xbb\xe3\x82\xab\xe3\x83\xab\xef\xbc\x81\xe7\x97\x85\xe5\x90\x8d\xe3\x81\xab\xe8\xb2\xa7\xe8\xa1\x80Anemia\xe3\x81\x99\xe3\x82\x89\xe7\x99\xbb\xe9\x8c\xb2\xe3\x81\x95\xe3\x82\x8c\xe3\x81\xa6\xe3\x81\xad\xe3\x81\x87\xe3\x81\x98\xe3\x82\x83\xe3\x81\xad\xe3\x81\x87\xe3\x81\x8b\xef\xbc\x81\xef\xbc\x81\xe3\x83\x90\xe3\x82\xab\xe3\x81\x98\xe3\x82\x83\xe3\x81\xad\xe3\x81\x87\xe3\x81\xae\xef\xbc\x81\xef\xbc\x9f\xe3\x80\x8d\n\n\xe3\x81\xa8\xe7\x84\xa1\xe9\x99\x90\xe3\x81\xabAnemia\xe3\x82\x92\xe5\x85\xa5\xe5\x8a\x9b\xe3\x81\x97\xe3\x83\x96\xe3\x83\x81\xe3\x82\xae\xe3\x83\xac\xe3\x81\xa6\xe3\x81\x84\xe3\x81\x9f\xe3\x80\x82\n\n\xe3\x83\x90\xe3\x82\xab\xe3\x81\xaf\xe3\x83\xaf\xe3\x82\xa4\xe3\x81\xae\xe6\x96\xb9\xe3\x81\xa0\xe3\x81\xa3\xe3\x81\x9f\xe2\x80\xa6\xf0\x9f\x98\x87',0,NIL
38,38,99383605,2023-02-14 08:50:22+00:00,"b'RT @Estampas: #Estampas | Si eres de las personas a la que les gustan los d\xc3\xa1tiles, debes saber que ingerir esta fruta a diario brinda los s\xe2\x80\xa6'",0,NIL
39,39,1253337300257267712,2023-02-14 08:48:26+00:00,b'\xe7\xa7\x81\xe3\x81\xae\xe5\xb0\x82\xe9\x96\x80\xe5\x88\x86\xe9\x87\x8e\xef\xbc\x88\xe3\x81\x93\xe3\x81\xae\xe7\xb6\xb4\xe3\x82\x8a\xe3\x81\xae\xe9\x81\x95\xe3\x81\x84\xe3\x81\xab\xe3\x81\xa4\xe3\x81\x84\xe3\x81\xa6\xe3\x81\x9f\xe3\x81\xbe\xe3\x81\xab\xe8\xac\x9b\xe6\xbc\x94\xe3\x81\xa7\xe5\x96\x8b\xe3\x82\x8b\xef\xbc\x89\xe3\x81\x8c\xe6\x9d\xa5\xe3\x81\x9f\xe3\x81\xae\xe3\x81\xa7\xe3\x80\x81\n\n\xe6\x95\xb4\xe5\xbd\xa2\xe5\xa4\x96\xe7\xa7\x91 Orthopaedics\xf0\x9f\x87\xac\xf0\x9f\x87\xa7/Orthopedics\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n\xe8\xb2\xa7\xe8\xa1\x80 Anaemia\xf0\x9f\x87\xac\xf0\x9f\x87\xa7/Anemia\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n\xe6\xb5\xae\xe8\x85\xab Oedema\xf0\x9f\x87\xac\xf0\x9f\x87\xa7/Edema\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n\xe9\xa3\x9f\xe9\x81\x93 O\xe2\x80\xa6 https://t.co/Heo8mn8dLA',0,NIL
40,40,1213884201532981248,2023-02-14 08:46:57+00:00,b'sky\xe3\x83\x87\xe3\x82\xa4\xe3\x83\xaa\xe3\x83\xbc\xe8\xa1\x8c\xe3\x81\x8d\xe3\x81\xbe\xe3\x81\x99',0,NIL
41,41,1034456794268086273,2023-02-14 08:46:40+00:00,b'@andreavicamp diguem q l\xe2\x80\x99anemia m\xe2\x80\x99ha sobrepassat',0,NIL
42,42,294785635,2023-02-14 08:45:56+00:00,"b'#FelizMartes ,hoy puedes hacer tu mejor\xf0\x9f\x8e\x81, #RegalaVidas\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\n\n\xf0\x9f\x91\x89Si tienes entre 18-65 a\xc3\xb1os, peso=&gt;50kg, no tienes anemi\xe2\x80\xa6 https://t.co/QlEGwVz0bX'",0,NIL
43,43,1299564535012102144,2023-02-14 08:42:22+00:00,"b'@isaqcty a mi me pas\xc3\xb3 hace un par de a\xc3\xb1os y probablemente sea anemia, yo no fui al m\xc3\xa9dico, simplemente se me pas\xc3\xb3 c\xe2\x80\xa6 https://t.co/fXHXNwqBxO'",0,NIL
44,44,1109713340,2023-02-14 08:40:40+00:00,"b'@ensustrece Y, qu\xc3\xa9 queria Hildebrandt? Que el Estado declarara ""intangible"" el VRAEM? Que ""deje hacer, deje pasar""?\xe2\x80\xa6 https://t.co/nmZVR6ke76'",0,NIL
45,45,1579311365340250114,2023-02-14 08:34:41+00:00,"b""RT @ShehzadSaeedPPP: Pakistan's largest Center of Hematology and Bone Marrow Transplant Center inaugurated by PPP Chairman Bilawal Bhutto a\xe2\x80\xa6""",0,NIL
46,46,4769707754,2023-02-14 08:30:10+00:00,b'RT @NNakorn5: \xe0\xb8\x95\xe0\xb8\xad\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb8\xb8\xe0\xb8\x94\xe0\xb8\x97\xe0\xb9\x89\xe0\xb8\xb2\xe0\xb8\xa2\xe0\xb8\xa1\xe0\xb8\xb2\xe0\xb9\x81\xe0\xb8\xa5\xe0\xb9\x89\xe0\xb8\xa7\xe0\xb8\xa7\xe0\xb8\xa7\n\xe2\x81\x89\xef\xb8\x8f \xe0\xb8\x97\xe0\xb8\xb3\xe0\xb9\x84\xe0\xb8\xa1 Hemoglobinuria \xe0\xb8\x96\xe0\xb8\xb6\xe0\xb8\x87\xe0\xb8\x8a\xe0\xb8\xad\xe0\xb8\x9a\xe0\xb9\x80\xe0\xb8\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb8\x95\xe0\xb8\xad\xe0\xb8\x99\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb2\xe0\xb8\x87\xe0\xb8\x84\xe0\xb8\xb7\xe0\xb8\x99\xe0\xb8\x95\xe0\xb8\xb2\xe0\xb8\xa1\xe0\xb8\x8a\xe0\xb8\xb7\xe0\xb9\x88\xe0\xb8\xad?\n.\n\xf0\x9f\x8c\xb5\xe0\xb8\x95\xe0\xb8\xad\xe0\xb8\x99\xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88 5: \xe0\xb8\x97\xe0\xb8\xb3\xe0\xb9\x84\xe0\xb8\xa1\xe0\xb8\x9a\xe0\xb8\xb2\xe0\xb8\x87\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb9\x89\xe0\xb8\x87\xe0\xb8\x96\xe0\xb8\xb6\xe0\xb8\x87\xe0\xb8\x9e\xe0\xb8\x9a PNH \xe0\xb8\xab\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x87\xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81 Aplastic a\xe2\x80\xa6',0,NIL
47,47,1462717837538177026,2023-02-14 08:29:55+00:00,b'@SigaGazetaBR Em estado terminal de anemia emocional profunda!! Uma maldi\xc3\xa7\xc3\xa3o do plano contr\xc3\xa1rio encarnada com os dias contados!!',0,NIL
48,48,1102039242392457217,2023-02-14 08:27:08+00:00,"b'Dessaturacao eu j\xc3\xa1 tenho veio junto c a anemia \xf0\x9f\x98\x8d dito isso gostaria de comunicar com frutas, seduzir chap\xc3\xa9us e atra\xe2\x80\xa6 https://t.co/PnqtnoVKP3'",0,NIL
49,49,1342160275114323969,2023-02-14 08:25:03+00:00,b'RT @kisugae: \xe3\x83\x90\xe3\x83\xac\xe3\x83\xb3\xe3\x82\xbf\xe3\x82\xa4\xe3\x83\xb3\xe3\x81\xa7\xe3\x81\x99\xe3\x81\xad\xe2\x9d\xa3\xe2\x9d\xa3\n\xe4\xbb\xa5\xe5\x89\x8d\xe6\x8f\x8f\xe3\x81\x84\xe3\x81\x9f\xe5\x8f\xaf\xe6\x84\x9b\xe3\x81\x95\xe5\x85\xa8\xe9\x96\x8b\xe3\x81\xae\xe3\x83\x81\xe3\x83\xa7\xe3\x82\xb3\xe3\x81\xa3\xe3\x81\xbd\xe3\x81\x84\xe7\xb5\xb5\xe3\x81\xa7\xe3\x81\x99\xf0\x9f\x92\x9d\xf0\x9f\x91\xbc https://t.co/sOltAryO2s',0,NIL
50,50,295636403,2023-02-14 08:24:36+00:00,"b'\xf0\x9f\x93\x8cEl responsable de las residencias de Madrid, sobre las quejas de un mayor que perdi\xc3\xb3 10 kilos: \xe2\x80\x9cAhora est\xc3\xa1 en su p\xe2\x80\xa6 https://t.co/4SIpPpt6w5'",0,NIL
51,51,1523834604574363648,2023-02-14 08:21:17+00:00,b'@aim__anemia @_aim_yuna @_aim_rena @_aim_ui @_aim_mio \xe3\x81\x82\xe3\x81\x8a\xe3\x81\xbf\xe3\x81\xa1\xe3\x82\x83\xe3\x81\x82\xe3\x82\x8a\xe3\x81\x82\xe3\x81\xa8\xef\xbd\x9e\xe2\x9d\x95\xe2\x9d\x95\xe2\x9d\x95\xe2\x9d\x95\n\xe8\x8c\xb6\xe8\x89\xb2\xe3\x81\xae\xe3\x83\x9a\xe3\x83\xb3\xe3\x81\xaa\xe3\x81\x8f\xe3\x81\xa6\xe3\x81\xb0\xe3\x82\x8c\xe3\x82\x93\xe3\x81\x9f\xe3\x81\x84\xe3\x82\x93\xe3\x81\xbd\xe3\x81\x8f\xe3\x81\xa7\xe3\x81\x8d\xe3\x81\xaa\xe3\x81\x8b\xe3\x81\xa3\xe3\x81\x9f(\xe5\xb0\x8f\xe5\xa3\xb0)\n\xe3\x81\xaf\xe3\x81\xa3\xe3\x81\xb4\xe3\x83\xbc\xe3\x81\xb0\xe3\x82\x8c\xe3\x82\x93\xe3\x81\x9f\xe3\x81\x84\xe3\x82\x93\xe2\x9d\x95\xf0\x9f\x92\x96',0,NIL
52,52,2354323903,2023-02-14 08:20:22+00:00,"b'\xe0\xa4\x9d\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\x96\xe0\xa4\x82\xe0\xa4\xa1 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\x8f\xe0\xa4\xa8\xe0\xa5\x80\xe0\xa4\xae\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xa6\xe0\xa5\x82\xe0\xa4\xb0 \xe0\xa4\xad\xe0\xa4\x97\xe0\xa4\xbe\xe0\xa4\x8f\xe0\xa4\x97\xe0\xa4\xbe \xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xae\xe0\xa4\xb2\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\xae\xe0\xa4\xa1\xe0\xa4\xbc\xe0\xa5\x81\xe0\xa4\x86, \xe0\xa4\xa1\xe0\xa4\xbe\xe0\xa4\xaf\xe0\xa4\xac\xe0\xa4\xbf\xe0\xa4\x9f\xe0\xa5\x80\xe0\xa4\x9c \xe0\xa4\xae\xe0\xa4\xb0\xe0\xa5\x80\xe0\xa4\x9c\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xad\xe0\xa5\x80 \xe0\xa4\xae\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa5\x87\xe0\xa4\x97\xe0\xa4\xbe \xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\xad, \xe0\xa4\x9c\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x88\xe0\xa4\xb8\xe0\xa5\x87\n#JharkhandNews\xe2\x80\xa6 https://t.co/hTG63SZwNB'",0,NIL
53,53,408572872,2023-02-14 08:20:06+00:00,b'@YoViviLaSeptima Si lo normal vi\xc3\xa9ndome comer es que pienses que tengo d\xc3\xa9ficit de muchas cosas pero no el colesterol\xe2\x80\xa6 https://t.co/YfayJHW39M',0,NIL
54,54,1506455298055327744,2023-02-14 08:18:03+00:00,b'eu odeio quando a minha anemia piora e eu n\xc3\xa3o consigo fazer porra nenhuma',0,NIL
55,55,912336318822178817,2023-02-14 08:11:59+00:00,b'\xe3\x81\xaa\xe3\x81\x9c\xe8\xb2\xa7\xe8\xa1\x80\xe3\x81\xae\xe3\x81\x93\xe3\x81\xa8\xe3\x82\x92anemia\xe3\x81\xa8\xe3\x81\x84\xe3\x81\x86\xe3\x81\xa1\xe3\x82\x87\xe3\x81\xa3\xe3\x81\xa8\xe3\x81\x8b\xe3\x82\x8f\xe3\x81\x84\xe3\x81\x84\xe5\x8d\x98\xe8\xaa\x9e\xe3\x81\xab\xe3\x81\x97\xe3\x81\x9f\xe3\x81\xae\xe3\x81\x8b? \xe3\x83\x9b\xe3\x83\xad\xe3\x83\xa1\xe3\x83\xb3\xe3\x81\xae\xe8\xaa\xb0\xe3\x81\x8b\xe3\x81\xae\xe3\x81\x8a\xe5\xa7\x89\xe3\x81\x95\xe3\x82\x93\xe3\x81\xbf\xe3\x81\x9f\xe3\x81\x84\xe3\x81\x98\xe3\x82\x83\xe3\x81\xaa\xe3\x81\x84\xe3\x81\x8b!',0,NIL
56,56,2919595963,2023-02-14 08:03:27+00:00,b'Anemia+ diare perfect combo',0,NIL
57,57,1592796492,2023-02-14 08:03:24+00:00,"b'Minum teh manis stlh makan, bisa menyebabkn Anemia, krn zat tannin &amp; polifenol dlm teh dpt menghambat penyerapan zat besi dlm saluran cerna.'",0,NIL
58,58,1585808241946394625,2023-02-14 08:02:16+00:00,b'NUCLEAR ABNORMALITIES \n1. Hypersegmentation  (5 or more lobes) - asssoc. w/ MEGALOBLASTIC ANEMIA \n\n2. Hyposegmentat\xe2\x80\xa6 https://t.co/damZnt3XqY',0,NIL
59,59,1213884201532981248,2023-02-14 08:01:18+00:00,b'RT @VRAINSbox3: \xe3\x83\x8e\xe3\x82\xa8\xe3\x83\xab\xe3\x81\xa1\xe3\x82\x83\xe3\x82\x93\xe3\x81\xa8\xe3\x83\x90\xe3\x83\xac\xe3\x83\xb3\xe3\x82\xbf\xe3\x82\xa4\xe3\x83\xb3\xf0\x9f\x8d\xab https://t.co/vt7Z736ton',0,NIL
60,60,1273520967298379777,2023-02-14 07:59:37+00:00,b'@BTS_SPOILER I had intense craving for clay and bricks for a while lmfaoo then it went away when my anemia became better',0,NIL
